session_id;stem;folder;activity_type;cp;weight;duration_sec;avg_power_ratio;max_power_ratio;avg_30_ratio;avg_60_ratio;pct_above_cp;start_ratio;end_ratio;effort_window_seconds;effort_min_cp_pct;effort_merge_pct;trim_window;extend_window;trim_start_power_ratio;trim_end_power_ratio;extend_before_power_ratio;extend_after_power_ratio;valley_count;valley_max_dur_sec;valley_time_ratio;overlap_count;max_overlap_ratio;contains_other_count;is_contained_by_other;gold_overlap_count;keep_label;start_delta_sec;end_delta_sec
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;59.0;1.109;2.82;1.0533071038251367;1.0170983606557378;0.6065573770491803;0.016129032258064516;0.024193548387096774;60.0;100.0;15.0;10.0;15.0;0.8887285843101894;1.1480613165013527;0.7016531409678389;0.5439134355275023;8.0;5.0;0.3442622950819672;0.0;0.0;0.0;0.0;1.0;1;0.0;120.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;49.0;1.00936;2.824;0.9616888888888888;0.9490954248366011;0.43137254901960786;0.025537634408602152;0.03225806451612903;60.0;100.0;15.0;10.0;15.0;0.9625901561385433;0.7799001347388445;0.6087025441864151;0.6227048162532033;7.0;5.0;0.45098039215686275;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;39.0;1.3195999999999999;2.744;1.1257658536585367;1.0081837398373983;0.6097560975609756;0.03494623655913978;0.04032258064516129;60.0;100.0;15.0;10.0;15.0;1.1373143376780843;1.1524704455895727;0.5629988885520865;0.2530059614024452;6.0;3.0;0.2926829268292683;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;49.0;1.12536;2.764;1.064475816993464;0.9980954248366015;0.5098039215686274;0.08064516129032258;0.08736559139784947;60.0;100.0;15.0;10.0;15.0;0.9838629416364543;0.8782967228264734;0.46539181535982566;0.8130139096229947;8.0;6.0;0.45098039215686275;0.0;0.0;0.0;0.0;1.0;1;-4.0;14.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;374.0;1.1592213333333334;2.952;1.1546932624113477;1.143202836879433;0.7180851063829787;0.09475806451612903;0.14516129032258066;60.0;100.0;15.0;10.0;15.0;0.8871472344654343;0.9585744913827212;0.5576156868518637;0.719793516567443;13.0;4.0;0.06382978723404255;0.0;0.0;0.0;0.0;1.0;1;-6.0;15.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;74.0;1.1159466666666666;2.152;1.0532508771929827;1.001195614035088;0.6578947368421053;0.1592741935483871;0.1693548387096774;60.0;100.0;15.0;10.0;15.0;0.9584687440259987;1.1609873829095774;0.6862932517683044;0.4329956031351558;6.0;3.0;0.11842105263157894;0.0;0.0;0.0;0.0;1.0;1;-66.0;0.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;89.0;1.0786222222222224;1.8;1.0213289377289376;0.9756249084249083;0.6483516483516484;0.17876344086021506;0.19086021505376344;60.0;100.0;15.0;10.0;15.0;0.9337838394659854;1.072479294573324;0.6022497836746467;0.19531089043635913;5.0;2.0;0.07692307692307693;0.0;0.0;0.0;0.0;1.0;1;0.0;0.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;149.0;1.07216;2.712;1.0422260485651211;1.0089969094922737;0.6490066225165563;0.22983870967741934;0.25;60.0;100.0;15.0;10.0;15.0;1.0476048350992389;1.0338009252350395;0.22509078247027806;0.7324777396408496;11.0;11.0;0.33774834437086093;0.0;0.0;0.0;0.0;1.0;1;-3.0;-76.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;134.0;1.0665185185185184;1.716;1.0439421568627454;1.0244171568627451;0.6323529411764706;0.2923387096774194;0.31048387096774194;60.0;100.0;15.0;10.0;15.0;1.0111404361716907;0.939880538963745;0.681594665925823;0.4818169190165301;8.0;3.0;0.08088235294117647;0.0;0.0;0.0;0.0;1.0;1;19.0;2.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;9.0;1.538;2.104;0.983381818181818;0.6815575757575757;0.9090909090909091;0.3333333333333333;0.3346774193548387;60.0;100.0;15.0;10.0;15.0;1.0;0.9407022106631989;0.3672301690507152;0.28209796272215;1.0;1.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0
86193d82-fa95-4ddf-ac20-70c2c8bf075b;i138874732_Giro_della_Castellania;data\archive\Castellania 2026\CLA;road;250.0;64.0;19.0;1.083;2.472;0.734031746031746;0.5042412698412698;0.5714285714285714;0.3588709677419355;0.36155913978494625;60.0;100.0;15.0;10.0;15.0;1.0278855032317638;1.1342566943674979;0.14453678054786087;0.03471837488457987;1.0;8.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0
